'english_word';'russian_translation'
'violent';'жестокий'
'violin';'скрипка'
'visitor';'посетитель'
'vocabulary';'словарный запас'
'voice';'голос'
'walking';'ходьба'
'wallet';'кошелек'
'wander';'бродить'
'washing machine';'стиральная машина'
'washing-up';'мытье посуды'
'wave';'волна'
'weak';'слабый'
'wealth';'богатство'
'web';'сеть'
'web page';'веб-страница'
'website';'веб-сайт'
'wedding';'свадьба'
'weekday';'будний день'
'weekly';'еженедельно'
'weep';'плакать'
'weigh';'взвешивать'
'weight';'масса'
'well-known';'известный'
'west';'запад'
'wet';'влажный'
'whatever';'что бы ни'
'wheelchair';'инвалидная коляска'
'while';'пока'
'whole';'весь'
'whom';'кому'
'wide';'широкий'
'widely';'широко'
'wild';'дикий'
'windy';'ветрено'
'wine';'вино'
'winner';'победитель'
'wisdom';'мудрость'
'wise';'мудрый'
'wish';'желание'
'within';'в пределах'
'without';'без'
'wonder';'удивляться'
'wood';'древесина'
'wooden';'деревянный'
'wool';'шерсть'
'worldwide';'по всему миру'
'worried';'волновался'
'worry';'волноваться'
'worse';'худший'
'worst';'худший'
'writing';'письмо'
'wrong';'неправильный'
'yeah';'ага'
'youth';'молодость'
'zone';'зона'
